Sample ID,Lamination Time (min),Lamination Pressure (MPa),Lamination Temperature (Celsius),PL Normalized Max Intensity (counts/sec),PL Sample Location (deg)
sl31,10,5.515,120,1.815013043,49.63157895
sl31,10,5.515,120,1.745598342,54.36842105
sl31,10,5.515,120,1.745681467,59.10526316
sl31,10,5.515,120,1.727635876,63.84210526
sl32,10,2.76,150,9.43316972,25.94736842
sl32,10,2.76,150,10.04521454,30.68421053
sl32,10,2.76,150,10.26347133,35.42105263
sl32,10,2.76,150,10.05997629,40.15789474
sl32,10,2.76,150,8.263212232,44.89473684
sl32,10,2.76,150,5.017536383,49.63157895
sl32,10,2.76,150,4.368536148,54.36842105
sl32,10,2.76,150,3.716122483,59.10526316
sl32,10,2.76,150,3.482735221,63.84210526
sl33,15,5.515,150,8.429226092,25.94736842
sl33,15,5.515,150,8.612652168,30.68421053
sl33,15,5.515,150,8.122117182,35.42105263
sl33,15,5.515,150,7.723580889,40.15789474
sl33,15,5.515,150,7.220087731,44.89473684
sl33,15,5.515,150,6.791606137,49.63157895
sl33,15,5.515,150,6.533965707,54.36842105
sl33,15,5.515,150,5.903745143,59.10526316
sl33,15,5.515,150,4.757900276,63.84210526
sl34,10,2.76,100,2.795629048,25.94736842
sl34,10,2.76,100,2.762266296,30.68421053
sl34,10,2.76,100,2.918088348,35.42105263
sl34,10,2.76,100,3.810213568,40.15789474
sl34,10,2.76,100,3.44363669,44.89473684
sl34,10,2.76,100,2.827553338,49.63157895
sl34,10,2.76,100,1.828429592,54.36842105
sl34,10,2.76,100,1.604728743,59.10526316
sl34,10,2.76,100,1.620346187,63.84210526
sl35,15,5.515,100,2.294159479,25.94736842
sl35,15,5.515,100,2.259853205,30.68421053
sl35,15,5.515,100,2.296093789,35.42105263
sl35,15,5.515,100,2.125791249,40.15789474
sl35,15,5.515,100,2.065443651,44.89473684
sl35,15,5.515,100,2.140702675,49.63157895
sl35,15,5.515,100,1.994555293,54.36842105
sl35,15,5.515,100,1.880375976,59.10526316
sl35,15,5.515,100,0.990666206,63.84210526
sl36,10,8.27,150,7.010157471,25.94736842
sl36,10,8.27,150,7.12525898,30.68421053
sl36,10,8.27,150,7.890342967,35.42105263
sl36,10,8.27,150,7.718489089,40.15789474
sl36,10,8.27,150,7.833870185,44.89473684
sl36,10,8.27,150,9.356587881,49.63157895
sl36,10,8.27,150,11.7789125,54.36842105
sl36,10,8.27,150,12.66661462,59.10526316
sl36,10,8.27,150,12.28107613,63.84210526
sl37,10,5.515,120,2.061269657,25.94736842
sl37,10,5.515,120,2.437869946,30.68421053
sl37,10,5.515,120,2.018748306,35.42105263
sl37,10,5.515,120,2.0784251,40.15789474
sl37,10,5.515,120,2.144619138,44.89473684
sl37,10,5.515,120,2.098009796,49.63157895
sl37,10,5.515,120,1.949355099,54.36842105
sl37,10,5.515,120,1.963637165,59.10526316
sl37,10,5.515,120,2.106299219,63.84210526
sl38,15,5.515,150,5.97630957,25.94736842
sl38,15,5.515,150,5.890370371,30.68421053
sl38,15,5.515,150,5.778019795,35.42105263
sl38,15,5.515,150,5.737781233,40.15789474
sl38,15,5.515,150,6.003516464,44.89473684
sl38,15,5.515,150,6.026663399,49.63157895
sl38,15,5.515,150,5.46165558,54.36842105
sl38,15,5.515,150,5.235035207,59.10526316
sl38,15,5.515,150,5.241129716,63.84210526
sl39,5,2.76,120,1.782106066,25.94736842
sl39,5,2.76,120,1.736602436,30.68421053
sl39,5,2.76,120,1.956796667,35.42105263
sl39,5,2.76,120,2.061997993,40.15789474
sl39,5,2.76,120,2.179708605,44.89473684
